,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,illari,junker-queen,junkrat,kiriko,lifeweaver,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4
Biotic Grenade Kills - Avg per 10 Min,,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,9,7,2,7,11,11,19,15,8,21,,6,14,8,4,13,,11,,9,6,12,10,3,11,13,14,6,9,20,11,16,10,9,3,12,21,20,7,19,7
All Damage Done - Most in Life,,2581,1865,1224,7159,4580,4850,7533,6040,3726,7610,1054,3205,3700,3007,3242,3297,216,4208,4383,1429,1360,7279,5258,1815,6270,4013,6613,2546,3728,5321,3743,5527,2326,5443,1361,6194,6621,10322,3609,5039,3482
Weapon Accuracy - Best in Game,,70,53,39,41,,57,39,41,35,57,10,56,68,53,50,53,34,100,,39,,47,67,48,50,,40,,40,38,47,44,28,47,48,73,100,47,51,63,38
Hero Damage Done - Most in Life,,2174,1780,718,3224,3669,3995,3948,5820,3320,7581,404,2346,3344,2738,1812,2617,186,2527,37,1279,1086,5899,2998,1221,3121,3279,4548,2092,2861,4804,3644,3718,2326,4034,1111,4124,5883,8700,3409,3935,2746
Obj Contest Time - Most in Game,,21,0,,5,,5,19,84,14,19,2,46,15,58,2,30,,15,,,4,18,,25,17,18,31,,27,43,15,,,10,,11,86,63,21,33,5
Obj Contest Time - Avg per 10 Min,,45,1,,17,,6,41,52,26,30,21,32,22,52,6,26,,39,,,35,193,,70,36,42,57,,21,48,28,,,19,,4,70,73,26,50,46
Melee Final Blows - Avg per 10 Min,,0.49,,,,,,1.09,0.79,1.18,0.75,,0.17,,4.72,,0.26,,0.53,,0.12,,1.18,,2.84,0.38,,1.96,,0.31,1.02,,,,0.69,,0.12,1.09,1.0,2.5,0.53,0.62
All Damage Done - Avg per 10 Min,,3069,8994,5646,20743,5871,9981,11840,9626,11750,10291,14373,8523,10445,10428,12958,6069,2388,5379,62646,687,5750,10565,11423,14328,11447,10578,10163,11794,9135,10998,5454,16271,5707,9244,6363,6773,9136,10412,11507,13176,7738
