,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5,grandmaster 5
Damage,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Damage Done - Most in Life,,1928,3064,5047,3006,5196,2177,4426,6849,5911,9595,3428,4437,5281,4688,8608,5282,95,2680,6355,3470,3188,330,2367,9952,3381,1041,4647,2835,4755,2572,7514,5347,8155,8011,11792,3280,5359,3386,3134,3499,2648,6031,4412,1340,4016,6953,5541,799,6698,3839
Obj Contest Time - Most in Game,,12,12,5,23,22,21,49,61,16,117,14,10,32,84,102,48,,42,161,4,36,,27,40,32,23,11,,142,29,128,43,150,116,59,9,34,35,5,,,13,13,6,29,129,55,0,120,11
Obj Contest Time - Avg per 10 Min,,12,21,5,12,10,28,15,31,16,38,17,11,16,24,34,14,,18,51,38,21,,43,27,58,11,20,,61,18,48,36,48,47,33,18,13,27,3,,,16,19,16,5,43,38,2,68,20
Melee Final Blows - Avg per 10 Min,,0.34,1.49,0.27,0.34,,,0.32,1.11,,0.93,0.27,1.07,,1.15,0.4,0.26,,2.23,1.44,0.11,0.38,,0.85,1.22,0.38,0.06,,0.37,0.5,0.21,0.11,0.07,,1.55,1.0,,0.62,0.27,0.97,,0.4,0.46,,,0.19,0.87,0.94,,0.31,0.25
All Damage Done - Avg per 10 Min,,3891,10542,8749,7919,14906,4625,8037,10662,21740,9220,10870,24102,11643,8407,18663,9245,846,5244,14506,10645,5534,2498,5166,17919,14314,925,9580,4913,11354,9979,15824,9387,10589,12059,15969,10046,15491,8736,5840,7124,11563,7268,8094,7928,6176,8597,7879,6185,9489,6687
Eliminations per Life,,1.33,1.13,1.95,2.83,2.97,1.53,1.99,3.95,5.27,2.19,2.4,3.33,2.21,2.1,4,2.27,,5.68,4.92,1.95,2.63,,1.91,3.15,1.59,0.49,3.5,3.33,2.96,1.81,3.4,2.53,2.35,4.26,3.83,1.67,2.84,1.82,2.24,1.73,2.74,2.49,1.65,2,1.82,3.02,2.35,5,2.95,1.78
Win Percentage,,56,77,42,65,62,42,45,55,75,53,75,100,53,51,66,52,50,58,69,53,55,,50,78,35,42,7,65,58,22,50,39,64,58,61,100,46,39,62,51,68,34,87,97,47,60,52,61,47,45
All Damage Done,,102334,14179,259367,93387,161031,28740,826665,259795,56229,1413080,40276,22544,143411,889113,888109,1111003,95,56390,191393,95741,29343,330,60985,132647,37310,16601,9017,13315,136615,92970,296088,135298,292848,1156855,191986,5024,124174,98071,36104,7988,58229,190884,26453,3098,1025799,295085,370748,1712,211727,79139
Environmental Kill,,1,,,,1,1,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Obj Contest Time,,12,29,8,101,69,22,342,491,42,3124,64,10,203,1499,1631,400,,198,677,4,109,,51,196,50,52,18,,448,48,889,114,913,2566,365,9,105,54,14,,,42,61,6,169,557,720,0,483,26
Environmental Kills - Avg per 10 Min,,0.04,,0.07,,0.09,0.16,0.01,,0.39,0.33,,,0.08,,0.08,,,1.21,,0.11,,,1.36,,,,,,0.17,0.32,,,0.07,0.71,,,,,,,,,0.31,,,0.2,0.15,,,
Weapon Accuracy,,31,43,46,40,26,,43,28,50,32,37,41,32,32,35,32,25,33,42,27,35,26,33,40,49,33,40,,34,53,32,26,,31,60,27,33,32,31,16,28,29,,47,34,65,35,32,29,27
Offensive Assists - Avg per 10 Min,,8.25,,,1.1,,3.86,,,,,,,,,,,,5.58,,2.33,5.85,,4.07,7.16,2.69,7.91,,,7.48,,2.78,,1.95,4.1,2.58,,,,3.56,,,,,,,,,,2.15,9.46
Defensive Assists - Avg per 10 Min,,6.84,,,13.4,,17.22,,,,,,,,,,,,7.63,,,21.69,,7.29,5.94,,16.26,20.19,5.17,,,,,,0.07,,,,1.96,,,,,,,,,,,5.74,11.75
Critical Hit Damage,,,4087,,,,,,,,,,,,,,,,,,,,,,49800,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,1675,,,,,,,,,,,,,,,,,,,,,,8918,,,,,,,,,,,,,,,,,,,,,,,,,,
