,all-heroes,ana,ashe,baptiste,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,illari,junker-queen,junkrat,kiriko,lifeweaver,lucio,mauga,mercy,orisa,pharah,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2,master 2
Self-Destruct Kills - Most in Game,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated - Most in Game,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated - Avg per 10 Min,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Avg per 10 Min,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills - Avg per 10 Min,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,25023,,,,,,,,,,,2393,,,,,,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,3163,,,,,,,,,,,1327,,,,,,,,,,,,,,,,
Rocket Punch Kills,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
