,all-heroes,ana,ashe,baptiste,brigitte,cassidy,dva,doomfist,echo,freja,genji,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Damage,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2,gold 2
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Hero Damage Done - Most in Game,27389,13573,13778,5126,5372,9092,20161,2040,17587,7760,8644,12340,8981,7123,19333,9858,10485,8731,4785,6490,10862,13435,6851,1949,10213,17703,13555,17980,19199,10218,10719,14353,5594,15967,15065,12219,9879,70,13599,4134,12918,9273,25147,4516,3660,15777,5352
Barrier Damage Done - Most in Game,11123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,42,28,9,4,16,,18,,4,,,20,18,14,10,3,19,40,25,17,9,13,42,20,18,7,3,3,2,3,,3,,8,4,11,3,,,,4,7,9,,7,13,24
Objective Contest Time - Most in Game,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,36,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
Hero Damage Done - Avg per 10 Min,4935,3744,8595,2100,3553,,9114,,7580,7621,4687,8390,4426,3779,8457,8503,5108,3713,2384,3076,9295,7400,976,2187,6025,10772,8890,11892,7502,8847,9231,10018,5627,8098,8615,6223,5505,,6391,4827,8072,5417,9576,6168,3942,10197,5049
Deaths - Avg per 10 Min,4.77,4.72,5.74,5.31,8.67,,3.51,,5.64,6.63,5.99,6.82,4.37,6.56,4.59,6.35,4.19,4.59,3.42,6.02,8.72,5.26,4.09,5.61,4.25,5.88,6.17,5.39,4.75,5.86,5.32,3.31,6.87,6.3,7.27,5.59,3.89,,6.34,5.84,6.03,6.51,4.92,9.73,4.53,4.14,6.3
Eliminations - Avg per 10 Min,14.49,11.49,20.66,3.98,6.61,,25.64,,20.07,11.83,9.21,17.04,13.97,14.96,17.99,19.56,16.65,12.35,9.01,11.46,18.32,18.43,5.08,12.35,20.17,17.1,23.37,19.97,21.5,18.82,9.57,19.87,10.11,20.23,19.13,21.05,17.51,,20.27,16.35,18.96,15.93,21.45,9.73,5.79,23.81,12.59
Assists - Avg per 10 min,9.17,12.1,3.61,6.63,9.91,,7.61,,0.43,0.47,0.46,1.81,7.7,5.13,3.91,1.83,8.58,12.52,11.18,8.74,6.69,4.53,17.26,22.45,9.34,3.7,0.93,1.27,0.09,2.09,1.06,1.96,,1.72,1.38,5.24,5.19,,0.02,,1.61,2.87,3.94,9.73,4.03,5.48,19.41
Healing Done - Avg per 10 Min,5019,6971,,8115,7080,,93.53,,92.69,,,,7972,5020,1375,,7363,7019,8496,4919,1433,1122,8703,8850,7335,,,182,1346,,4749,,37.38,,1186,314,1.04,,,176,,,546,,9012,,5847
Final Blows - Avg per 10 Min,6.91,3.81,11.89,2.65,1.65,,14.05,,12.03,7.81,2.76,10.08,6.19,6.7,9.33,13.56,5.66,5.03,2.92,3.76,10.76,9.24,2.55,4.49,8.39,8.93,16.14,10.99,13.31,11.71,4.25,7.98,4.85,10.46,10.84,11.49,5.19,,10.98,15.18,10.57,11.3,8.65,,2.26,12.5,2.89
Time Spent on Fire - Avg per 10 Min,77,72,118,30,54,,75,,50,97,,78,78,71,95,107,95,53,58,63,95,86,85,176,78,104,67,137,105,157,120,158,35,70,100,122,,,98,135,121,63,169,,18,147,57
Objective Contest Time - Avg per 10 Min,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.29,0.45,2.61,,,,2.42,,2.58,1.89,0.46,2.06,0.86,2.28,0.45,4.17,0.66,0.87,0.44,0.17,0.58,1.37,0.74,1.12,1.75,0.65,3.93,0.63,1.95,0.84,,0.45,0.4,1.54,1.78,3.2,,,2.51,2.34,1.83,4.22,1.2,,0.5,1.07,0.26
Objective Kills - Avg per 10 Min,5.93,5.2,9.65,1.99,2.48,,7.75,,7.35,5.21,5.53,6.74,6.64,5.56,7.22,6.08,7.18,5.88,4.43,4.23,6.4,8.91,1.63,5.61,8.8,8.28,10.13,7.92,9.82,7.11,5.32,10.69,2.02,7.57,8.29,8.35,5.84,,7.64,9.34,7.3,4.73,7.88,,2.01,10.18,3.41
Objective Time - Avg per 10 Min,72,69,69,90,53,,115,,66,57,36,58,83,62,102,48,60,78,65,78,167,96,52,176,75,74,60,113,89,200,102,194,35,63,54,75,23,,74,93,78,43,110,,31,119,21
Time Played,1932133,322893,36388,904,1453,0,121000,0,97363,2536,1302,16902,122771,4210,7973,6902,136225,281626,67038,10366,2064,34664,273517,535,36411,5508,21975,5678,13253,1434,564,3986,1484,62480,25249,38225,925,0,37006,514,24971,63639,8531,62,2385,26933,2287
Games Played,3855,672,66,2,3,0,240,0,196,5,4,34,244,9,15,12,270,539,133,21,4,69,549,1,72,10,40,11,26,3,2,8,3,129,51,75,2,0,72,1,49,134,15,0,5,55,4
Games Won,1966,337,39,0,0,0,137,0,103,0,1,18,132,5,5,6,151,265,62,8,0,32,266,,42,3,19,4,13,,0,6,,60,29,39,2,,37,,26,66,9,0,2,35,2
