,all-heroes,reaper,tracer,mercy,hanzo,torbjorn,reinhardt,pharah,winston,widowmaker,bastion,symmetra,zenyatta,genji,roadhog,cassidy,junkrat,zarya,soldier-76,lucio,dva,mei,sombra,doomfist,ana,orisa,brigitte,moira,wrecking-ball,sojourn,ashe,echo,baptiste,kiriko,junker-queen,sigma,ramattra,mauga,freja,venture,hazard,juno,vendetta,domina,sierra,emre,anran
Tank,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,
Hero Damage Done - Most in Life,,7680,5947,285,6919,3301,7931,5187,6174,4803,8427,2575,2344,4007,8363,6120,2714,9161,5839,1571,8390,3979,5354,4906,1439,10988,1726,4870,4625,4311,4947,8884,1351,4667,8350,12600,8220,9231,692,4446,4924,1536,2934,9652,3485,3812,2684.0
Assist - Most in Game,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Critical Hit Kills - Most in Game,,10,4,,9,3,,,,12,5,,2,2,7,6,,,3,,3,,5,3,,6,,,3,2,5,4,,3,3,,2,2,,,,,,2,2,2,
Obj Contest Time - Most in Game,,144,117,49,108,76,171,197,146,86,104,18,26,204,184,119,53,153,82,114,101,103,78,223,56,306,32,147,86,92,176,155,52,150,97,240,163,107,,128,66,25,104,202,67,96,23.0
Critical Hit Kills - Avg per 10 Min,,2.97,1.34,,3.5,1.2,,,,5.92,1.27,,0.44,0.57,2.05,1.84,,,1.74,,0.99,,1.96,0.9,,1.73,,,1.25,0.76,3.02,1.41,0.27,1.0,1.3,,0.73,1.01,,,0.25,,,0.54,0.6,1.19,1.34
Obj Contest Time - Avg per 10 Min,,45,39,38,23,36,63,31,73,11,31,18,18,57,77,27,46,68,41,93,61,54,27,63,28,88,35,58,66,48,45,40,44,39,67,73,69,73,,65,64,15,43,67,46,32,30.0
Melee Final Blows - Avg per 10 Min,,0.25,1.21,,0.21,,,0.02,0.56,0.23,0.15,,,0.43,0.25,0.17,,,0.32,,0.26,0.46,0.19,0.52,0.09,0.18,,0.53,0.63,0.13,0.07,0.18,0.27,0.08,0.58,0.89,0.14,0.34,,1.04,0.76,0.3,,0.78,0.3,0.17,
All Damage Done - Avg per 10 Min,,11018,7972,446,11587,8427,10952,10767,8275,6646,14570,7809,6638,7802,10847,10522,12178,12412,11897,4420,13533,26363,7344,9392,3484,14100,3613,5832,8123,10615,9787,11019,4348,5882,11866,14414,13457,16514,12649,9872,18822,5458,9093,16181,9510,13118,8953.0
Critical Hits - Avg per 10 Min,,203,125,2.51,10.14,27.17,,,,17.26,24.6,,10.46,19.51,166,12.78,,,45.15,8.97,399,,63.3,81.8,,88.08,,,119,51.5,16.93,47.09,16.05,13.11,121,,116,293,14.93,,34.36,,19.66,9.32,87.09,25.82,13.37
Eliminations per Life,,3.78,2.9,0.12,2.36,1.59,2.63,2.69,2.67,1.94,3.04,1.1,0.67,1.66,3.13,2,1.81,3.16,2.17,1.32,4.35,2.45,2.5,2.03,0.88,3.36,1.54,2.3,2.37,2.49,2.29,2.41,1.2,1.47,2.78,3.91,4.12,2.94,,2.88,3.3,1.75,1.72,4.82,4,3.4,1.8
Win Percentage,,64,48,38,47,41,53,51,41,48,45,28,20,45,49,27,39,46,51,47,56,52,50,33,40,47,35,50,31,58,46,56,53,62,33,51,58,40,,62,45,40,38,58,75,57,100.0
All Damage Done,,485907,177872,1242,830614,21093,484749,479896,59019,172847,379102,9406,30467,164396,396321,485110,49310,248389,150452,10345,204426,286320,303288,344791,40238,1345451,11563,174870,51941,168179,132978,305126,16255,76711,163802,1344442,295113,147115,847,75993,73959,18435,63819,416634,31557,77226,6699.0
Critical Hits,,8970,2798,7,727,68,,,,449,640,,48,411,6079,589,,,571,21,6034,,2614,3003,,8405,,,763,816,230,1304,60,171,1666,,2536,2611,,,135,,,240,289,152,10.0
Critical Hit Kills,,131,30,,251,3,,,,154,33,,2,12,75,85,,,22,,15,,81,33,,165,,,8,12,41,39,,13,18,,16,9,,,,,,14,2,7,
Obj Contest Time,,1983,868,104,1653,91,2785,1375,524,283,801,22,83,1207,2806,1225,185,1367,519,219,921,582,1123,2330,324,8413,112,1735,420,757,612,1118,164,508,930,6768,1513,646,,500,251,52,300,1719,152,186,23.0
Critical Hit Accuracy,,12,11,12,10,11,,,,17,4,,15,11,18,9,,,10,5,9,,12,10,,13,,,12,9,17,12,12,14,14,,14,12,7,,5,,,13,9,10,14.0
Weapon Accuracy,,32,36,33,25,31,,49,50,36,28,47,30,31,27,45,34,40,39,28,29,51,35,31,31,36,,,36,33,40,32,29,34,42,57,29,39,42,53,29,33,,48,28,37,44.0
Assist,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Pulse Bomb Kills,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse Bomb Kills - Most in Game,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse Bombs Attached - Most in Game,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse Bombs Attached,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Health Recalls,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Health Recalls - Most in Game,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Health Recalls - Avg per 10 Min,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse Bomb Kills - Avg per 10 Min,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse Bomb Attach Rate,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
